single1	single2
OS06G01440	SB10G000430
OS01G48680	SB03G031110
OS10G41960	SB01G028520
OS03G20860	SB01G036710
OS08G14460	SB07G007620
OS02G10020	SB04G006370
OS10G13550	SB01G024860
OS08G16930	SB07G011060
OS06G06410	SB10G004030
OS10G36060	SB01G017720
OS10G31930	SB01G020170
OS01G11990	SB03G001600
OS10G33710	SB01G019330
OS06G50360	SB10G030300
OS04G58580	SB06G033280
OS04G51900	SB06G027930
OS03G46640	SB01G012360
OS07G28940	SB02G033040
OS01G71190	SB03G045320
OS03G02540	SB01G049510
OS06G47350	SB10G028030
OS09G36520	SB02G031090
OS07G32350	SB02G034230
OS01G50690	SB01G003360
OS06G23430	SB06G018340
OS03G60090	SB01G003700
OS04G13470	SB06G002040
OS10G35560	SB01G018130
OS02G30800	SB04G020730
OS10G40360	SB01G029660
OS11G45250	SB02G043630
OS02G03460	SB04G002260
OS02G39890	SB04G025800
OS03G18590	SB01G038160
OS10G40130	SB01G029770
OS07G46220	SB02G041420
OS01G72480	SB03G046160
OS01G17180	SB03G011260
OS09G39790	SB02G012610
OS03G56070	SB01G006810
OS06G03780	SB10G001730
OS09G38790	SB02G032810
OS08G40250	SB02G028640
OS06G04280	SB10G002230
OS04G11880	SB06G032670
OS05G02490	SB09G001650
OS08G41900	SB07G026250
OS03G16070	SB01G039960
OS07G34610	SB10G027700
OS06G06030	SB10G003770
OS03G48930	SB01G011260
OS05G03480	SB09G002260
OS04G42784	SB06G021950
OS02G14190	SB02G025980
OS07G48840	SB07G024380
OS06G09330	SB10G006220
OS03G49730	SB01G010740
OS03G11580	SB10G008980
OS01G07100	SB03G005010
OS05G09620	SB05G025690
OS05G42300	SB09G024800
OS09G35670	SB02G030390
OS01G55300	SB03G035050
OS03G50540	SB01G010210
OS04G55060	SB06G030380
OS01G17170	SB03G011270
OS03G15630	SB01G040310
OS03G60190	SB01G003600
OS01G56910	SB03G036240
OS02G37090	SB04G024160
OS09G24250	SB10G027800
OS04G02730	SB06G001050
OS06G40500	SB10G023720
OS07G08050	SB02G004340
OS03G49210	SB01G011100
OS12G35360	SB08G017190
OS08G16559	SB07G009460
OS10G26130	SB04G034020
OS08G01880	SB07G001080
OS11G34120	SB05G020810
OS10G18220	SB04G001220
OS03G01920	SB01G049950
OS05G28280	SB09G016610
OS03G13220	SB01G041750
OS07G36080	SB02G035610
OS02G53270	SB04G034590
OS06G42430	SB10G024670
OS04G01590	SB06G000580
OS06G04660	SB06G033940
OS03G15350	SB01G040530
OS03G08810	SB01G044760
OS01G15600	SB03G010090
OS10G43075	SB01G027630
OS08G05840	SB07G003610
OS06G50154	SB10G030160
OS09G18320	SB06G033140
OS11G40590	SB05G025070
OS03G49480	SB01G010960
OS10G33770	SB01G019310
OS01G42460	SB05G001150
OS11G36030	SB05G021980
OS05G05660	SB09G003780
OS02G44680	SB04G032390
OS01G59800	SB03G037770
OS02G51470	SB04G027810
OS03G38520	SB01G015780
OS03G49180	SB01G011140
OS08G29730	SB07G019460
OS07G07520	SB01G020050
OS04G38750	SB06G019030
OS08G03390	SB07G002300
OS06G43690	SB10G025320
OS07G10350	SB02G006000
OS08G43060	SB07G025350
OS05G05710	SB09G003830
OS12G41590	SB08G020890
OS03G58130	SB01G005280
OS01G03510	SB03G007500
OS05G37500	SB10G000410
OS08G01430	SB07G000565
OS08G28230	SB07G014910
OS01G38970	SB03G025720
OS01G08420	SB03G003800
OS01G40280	SB03G026180
OS03G12940	SB01G042080
OS10G41460	SB01G028790
OS02G49326	SB04G029430
OS04G46470	SB06G024560
OS08G06070	SB07G003820
OS03G11950	SB01G042670
OS07G39710	SB02G037780
OS06G49790	SB10G029780
OS05G41750	SB09G024390
OS03G61560	SB01G002280
OS02G39990	SB04G025910
OS08G36840	SB07G022980
OS05G01540	SB03G046480
OS04G17050	SB06G003270
OS02G35610	SB04G023240
OS12G35030	SB08G017010
OS08G16010	SB07G009310
OS06G37610	SB10G022680
OS01G74180	SB07G001660
OS02G32370	SB04G021290
OS01G48210	SB03G030810
OS07G16960	SB02G008800
OS02G50100	SB04G028760
OS05G01450	SB09G026780
OS04G56646	SB06G031700
OS02G38250	SB01G003970
OS09G36040	SB02G030550
OS04G49530	SB06G026550
OS03G54920	SB01G007660
OS01G72980	SB03G046560
OS12G36760	SB08G017700
OS01G69120	SB03G044000
OS01G71300	SB03G045400
OS08G16570	SB07G009470
OS02G51790	SB04G027550
OS01G28540	SB03G026530
OS01G37760	SB03G025320
OS04G36050	SB06G017480
OS05G38170	SB09G022320
OS02G52370	SB04G033950
OS07G37990	SB02G036660
OS06G43120	SB10G024960
OS05G42350	SB09G024840
OS01G56640	SB03G036060
OS03G19400	SB01G037490
OS02G13810	SB04G008310
OS07G40800	SB02G038410
OS10G21000	SB09G022850
OS02G27950	SB04G019250
OS10G37660	SB01G031280
OS01G63690	SB03G040300
OS03G17440	SB01G038930
OS04G55260	SB06G030570
OS04G42870	SB06G022000
OS03G15700	SB01G040250
OS03G54150	SB01G007800
OS06G27800	SB10G010600
OS02G13840	SB04G008330
OS05G06490	SB09G004460
OS06G20090	SB01G042430
OS03G49250	SB01G011060
OS06G03980	SB10G001980
OS04G40740	SB06G020590
OS11G16580	SB08G003320
OS08G08040	SB06G029950
OS01G14820	SB03G009540
OS12G39340	SB08G019540
OS05G09630	SB05G025680
