gf_id	species	genes	zma	sbi	sit	osa	osaindica	bdi	hvu	mac	ath	cpa	ptr	vvi	sly	ppa	olu	cre
HOM03M000071	16	625	52	36	40	40	38	40	34	91	34	32	59	37	44	46	1	1
HOM03M000072	7	246	0	8	8	5	220	1	0	0	0	0	2	0	2	0	0	0
HOM03M000073	15	604	44	66	57	54	66	36	33	30	24	24	57	67	30	8	0	8
HOM03M000074	14	603	40	61	52	52	59	40	39	25	28	27	69	54	56	0	1	0
HOM03M000075	16	598	42	52	48	48	56	43	35	39	22	23	58	54	40	10	7	21
HOM03M000076	16	599	56	44	67	54	56	42	32	35	33	36	50	25	35	12	9	13
HOM03M000077	16	598	59	28	36	34	31	41	28	76	36	29	53	35	48	34	12	18
HOM03M000078	16	590	22	50	38	73	84	34	16	22	37	22	76	77	26	7	1	5
HOM03M000079	16	579	51	29	34	39	42	30	30	59	39	54	47	28	33	30	12	22
HOM03M000080	16	564	35	33	40	35	74	36	34	36	31	22	59	33	38	37	6	15
HOM03M000081	14	558	50	47	43	42	44	36	31	31	33	31	77	42	29	22	0	0
HOM03M000082	14	551	34	44	39	46	47	37	36	48	29	28	69	28	46	20	0	0
HOM03M000083	16	531	41	35	48	48	45	36	20	38	46	38	54	19	42	10	5	6
HOM03M000084	14	524	21	25	30	54	68	36	32	52	58	16	37	34	19	42	0	0
HOM03M000085	16	515	37	40	40	35	38	31	31	50	35	27	54	31	40	23	1	2
HOM03M000086	16	513	27	34	31	40	38	29	23	33	30	43	85	58	29	8	1	4
HOM03M000087	16	512	39	41	41	49	53	35	41	49	34	19	42	27	26	12	1	3
HOM03M000088	14	511	26	41	35	37	43	14	11	58	31	25	53	90	45	2	0	0
HOM03M000089	14	508	41	26	31	32	30	30	21	40	53	41	67	51	42	3	0	0
HOM03M000090	14	509	4	5	9	16	20	7	7	7	25	10	240	102	44	13	0	0
HOM03M000091	7	371	0	16	17	199	131	0	1	0	0	6	0	0	1	0	0	0
HOM03M000092	14	498	43	42	43	37	42	33	32	38	23	28	53	43	28	13	0	0
HOM03M000093	16	496	31	40	34	40	51	31	30	32	49	27	48	41	24	15	1	2
HOM03M000094	14	496	35	38	36	30	32	32	30	55	33	23	43	35	38	36	0	0
HOM03M000095	16	494	40	35	32	31	37	31	26	65	33	27	54	29	28	24	1	1
HOM03M000096	9	204	3	2	3	4	185	2	2	2	0	0	0	0	1	0	0	0
HOM03M000097	14	485	38	35	34	32	34	26	24	35	26	27	46	66	36	26	0	0
HOM03M000098	16	473	47	29	28	32	32	27	26	73	36	21	45	22	33	19	2	1
HOM03M000099	15	442	17	151	19	17	38	10	20	24	12	7	48	9	65	2	0	3
HOM03M000100	16	468	44	44	37	36	43	25	31	40	28	27	38	23	40	8	2	2
HOM03M000101	13	467	10	24	26	55	82	31	26	13	25	6	140	12	17	0	0	0
HOM03M000102	14	467	41	27	30	30	32	29	25	48	32	36	45	27	36	29	0	0
HOM03M000103	14	464	36	27	27	32	37	20	13	54	37	32	46	37	40	26	0	0
HOM03M000104	16	463	34	31	32	24	28	28	31	29	22	34	37	20	28	45	18	22
HOM03M000105	15	454	29	55	38	42	48	22	30	46	17	10	42	43	25	4	0	3
HOM03M000106	13	443	24	42	49	69	88	34	27	9	7	14	57	21	2	0	0	0
HOM03M000107	16	444	37	36	27	32	45	32	23	44	19	13	33	25	27	30	9	12
HOM03M000108	14	442	33	28	28	34	34	25	25	45	32	23	40	25	32	38	0	0
HOM03M000109	15	440	38	43	42	36	40	30	21	41	22	18	46	23	33	6	0	1
HOM03M000110	14	422	42	24	25	31	29	24	19	63	27	20	39	19	34	26	0	0
HOM03M000111	16	418	20	30	22	33	44	24	17	37	34	20	33	35	35	15	4	15
HOM03M000112	15	417	41	25	24	29	31	25	27	58	24	20	41	26	27	18	0	1
HOM03M000113	15	412	37	23	25	28	29	24	27	44	30	24	41	25	31	22	0	2
HOM03M000114	13	325	5	60	16	15	89	39	25	7	2	7	32	5	23	0	0	0
HOM03M000115	7	395	16	84	82	44	43	80	46	0	0	0	0	0	0	0	0	0
HOM03M000116	16	393	32	22	26	25	26	24	23	32	24	26	33	23	26	25	14	12
HOM03M000117	16	393	28	25	27	30	38	24	16	53	18	20	33	21	24	14	8	14
HOM03M000118	12	305	9	46	8	10	90	16	23	0	5	1	79	2	16	0	0	0
HOM03M000119	15	385	29	32	32	29	38	28	23	33	22	15	39	20	24	16	0	5
HOM03M000120	16	385	35	23	22	20	21	20	17	25	23	25	38	19	19	35	20	23
HOM03M000121	16	382	25	26	23	22	24	16	17	45	24	15	37	25	25	34	8	16
HOM03M000122	15	381	34	31	30	28	35	28	24	28	13	24	36	22	25	18	0	5
HOM03M000123	5	26	0	6	2	0	13	2	3	0	0	0	0	0	0	0	0	0
HOM03M000124	16	379	29	16	15	15	17	21	26	32	22	17	27	18	32	53	14	25
HOM03M000125	14	378	28	19	24	27	28	23	26	49	28	20	38	21	29	18	0	0
HOM03M000126	14	378	39	25	28	31	32	26	22	45	28	21	33	23	23	2	0	0
HOM03M000127	4	38	0	0	2	5	29	0	2	0	0	0	0	0	0	0	0	0
HOM03M000128	15	366	32	25	25	25	29	24	21	35	26	20	32	21	27	20	0	4
HOM03M000129	4	111	0	0	0	58	51	1	0	0	0	0	1	0	0	0	0	0
HOM03M000130	15	359	30	29	31	37	40	20	22	29	23	15	30	14	22	16	0	1
HOM03M000131	16	358	29	23	24	27	30	27	24	44	24	18	31	19	27	8	1	2
HOM03M000132	7	354	120	161	35	17	16	3	2	0	0	0	0	0	0	0	0	0
HOM03M000133	16	353	21	21	21	19	22	23	25	35	23	26	27	16	21	20	15	18
HOM03M000134	16	351	35	17	20	17	18	23	16	39	26	18	32	24	21	28	8	9
HOM03M000135	16	348	24	33	29	34	39	24	16	16	27	11	42	24	18	8	1	2
HOM03M000136	15	344	33	21	20	19	21	18	16	59	17	14	31	19	16	16	0	24
HOM03M000137	14	342	42	29	32	25	24	27	26	36	16	16	37	9	21	2	0	0
HOM03M000138	16	340	22	29	31	29	33	27	7	22	22	10	34	12	17	28	4	13
HOM03M000139	14	340	14	15	26	34	39	19	32	27	49	14	14	23	26	8	0	0
HOM03M000140	9	335	3	54	53	72	92	37	15	1	0	0	8	0	0	0	0	0
HOM03M000141	16	335	32	18	21	16	23	20	17	21	16	13	24	21	17	27	11	38
HOM03M000142	15	334	12	23	20	24	31	21	21	20	20	12	78	33	14	2	0	3
HOM03M000143	15	330	27	27	21	23	23	20	21	34	27	13	33	11	40	7	0	3
HOM03M000144	16	329	14	21	21	17	22	20	21	29	16	23	33	36	28	15	1	12
HOM03M000145	16	328	25	33	22	22	26	17	23	13	16	20	29	15	20	14	17	16
HOM03M000146	3	161	0	0	9	24	128	0	0	0	0	0	0	0	0	0	0	0
HOM03M000147	14	323	27	20	20	20	26	21	17	52	18	19	32	18	24	9	0	0
HOM03M000148	9	320	9	61	60	48	50	59	30	0	1	0	2	0	0	0	0	0
HOM03M000149	16	320	26	19	18	18	19	16	15	29	15	22	38	25	26	18	5	11
HOM03M000150	5	313	0	287	22	1	2	0	1	0	0	0	0	0	0	0	0	0
HOM03M000151	15	318	16	15	15	21	25	13	19	9	27	23	77	19	36	1	0	2
HOM03M000152	16	317	117	39	48	13	14	20	13	12	6	4	9	4	7	4	3	4
HOM03M000153	14	315	34	30	28	28	27	23	20	45	18	9	25	10	16	2	0	0
HOM03M000154	13	313	44	23	22	24	26	22	22	45	25	14	21	7	18	0	0	0
HOM03M000155	14	312	15	20	16	42	31	12	8	21	25	25	30	40	23	4	0	0
HOM03M000156	16	308	36	13	13	14	13	14	13	39	17	16	32	24	19	31	6	8
HOM03M000157	7	308	25	35	67	53	61	44	23	0	0	0	0	0	0	0	0	0
HOM03M000158	16	306	26	19	19	18	20	14	21	20	14	22	30	30	21	26	3	3
HOM03M000159	14	303	29	22	24	19	22	20	13	33	23	14	28	17	15	24	0	0
HOM03M000160	16	302	31	21	20	19	22	17	12	35	25	16	29	14	23	9	4	5
HOM03M000161	15	297	31	21	20	23	24	20	17	42	16	12	24	16	19	11	1	0
HOM03M000162	16	293	26	19	18	19	18	17	16	33	21	24	23	22	28	6	2	1
HOM03M000163	16	293	24	21	24	21	21	20	17	26	17	15	28	17	31	6	1	4
HOM03M000164	16	290	34	13	15	17	18	15	15	37	18	12	21	14	30	16	7	8
HOM03M000165	16	290	29	23	13	16	16	13	29	22	13	11	17	15	26	13	4	30
HOM03M000166	14	286	19	28	23	30	30	34	19	21	14	13	21	12	20	2	0	0
HOM03M000167	8	285	17	37	64	49	69	35	13	1	0	0	0	0	0	0	0	0
HOM03M000168	9	283	6	34	57	63	61	39	17	0	0	0	5	1	0	0	0	0
HOM03M000169	14	283	35	33	37	26	30	21	30	40	7	4	9	4	5	2	0	0
HOM03M000170	16	282	20	20	15	13	14	18	23	31	23	19	25	15	26	11	4	5
HOM03M000171	13	282	30	24	17	32	33	22	17	14	29	8	22	6	28	0	0	0
HOM03M000172	14	279	12	44	24	23	24	31	28	18	17	6	14	15	19	4	0	0
HOM03M000173	16	280	17	16	18	14	13	13	17	24	14	17	25	17	15	28	18	14
HOM03M000174	6	277	0	5	12	154	102	0	0	0	1	0	0	0	3	0	0	0
HOM03M000175	15	277	5	18	26	35	35	23	21	6	18	2	31	17	38	0	1	1
HOM03M000176	14	277	18	19	14	15	21	15	11	28	23	28	24	32	22	7	0	0
HOM03M000177	14	277	16	39	24	34	35	11	13	20	4	4	17	25	8	27	0	0
HOM03M000178	15	275	32	24	19	19	20	16	13	16	18	14	26	17	23	17	0	1
HOM03M000179	16	275	20	16	16	16	16	20	13	21	16	7	22	13	18	18	5	38
HOM03M000180	14	273	16	18	18	20	22	16	6	24	28	29	34	19	18	5	0	0
HOM03M000181	13	273	15	24	39	20	21	27	27	17	17	10	33	11	12	0	0	0
HOM03M000182	14	272	21	27	25	25	24	21	17	22	22	17	22	10	17	0	0	2
HOM03M000183	16	272	23	20	19	19	19	17	15	22	22	13	22	17	24	12	4	4
HOM03M000184	16	269	20	16	20	18	22	17	19	21	25	13	25	17	13	9	7	7
HOM03M000185	1	268	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0
HOM03M000186	13	267	6	33	30	24	27	22	20	5	16	23	32	15	14	0	0	0
HOM03M000187	15	264	17	13	19	39	38	12	13	14	22	8	19	11	20	9	0	10
HOM03M000188	15	260	31	25	19	23	22	18	17	20	10	10	18	15	20	9	0	3
HOM03M000189	16	261	24	14	16	17	21	16	12	43	12	11	22	10	20	16	2	5
HOM03M000190	16	261	13	17	20	24	29	13	17	15	14	17	35	20	19	6	1	1
HOM03M000191	6	92	8	3	2	52	25	2	0	0	0	0	0	0	0	0	0	0
HOM03M000192	14	259	17	24	24	16	16	17	14	22	14	19	29	16	18	13	0	0
HOM03M000193	14	259	19	29	16	15	16	15	14	21	18	13	18	11	50	4	0	0
HOM03M000194	14	256	22	21	19	21	23	17	21	28	16	17	24	16	8	3	0	0
HOM03M000195	16	255	22	14	15	14	17	12	23	22	13	38	13	13	12	16	2	9
HOM03M000196	15	255	24	26	22	25	22	13	14	17	12	9	20	15	28	7	0	1
HOM03M000197	16	255	22	19	15	17	18	11	18	22	20	13	15	29	20	9	1	6
HOM03M000198	10	183	3	32	0	1	79	25	30	0	1	0	1	0	10	1	0	0
HOM03M000199	7	250	66	124	22	7	14	11	6	0	0	0	0	0	0	0	0	0
HOM03M000200	16	250	21	14	16	17	18	17	12	24	14	12	26	13	16	12	8	10
HOM03M000201	14	251	18	15	17	17	20	17	15	20	20	17	27	15	22	11	0	0
HOM03M000202	15	250	22	24	32	23	25	17	8	7	15	8	13	31	13	11	0	1
HOM03M000203	14	247	14	23	18	22	21	12	11	14	31	11	21	11	29	9	0	0
HOM03M000204	16	244	16	30	20	14	25	8	6	2	15	16	20	57	10	3	1	1
HOM03M000205	9	233	0	80	2	37	58	7	10	0	10	0	4	0	25	0	0	0
HOM03M000206	14	239	15	10	10	12	13	8	5	19	26	18	31	18	24	30	0	0
HOM03M000207	14	238	19	18	18	19	20	13	16	20	14	7	21	15	26	12	0	0
HOM03M000208	15	238	23	19	16	21	21	15	11	28	16	9	24	7	17	9	0	2
HOM03M000209	16	236	27	17	18	17	16	19	13	30	11	10	20	11	14	9	1	3
HOM03M000210	13	228	19	26	26	16	25	22	24	9	13	3	23	14	8	0	0	0
HOM03M000211	14	233	21	21	25	12	10	13	13	33	13	11	14	15	17	15	0	0
HOM03M000212	12	232	20	45	52	20	23	31	25	1	1	0	12	1	1	0	0	0
HOM03M000213	14	231	15	14	15	19	17	11	11	14	20	9	30	15	29	12	0	0
HOM03M000214	16	230	18	10	13	13	25	11	11	14	10	18	22	21	14	19	4	7
HOM03M000215	16	230	18	14	15	13	13	16	11	20	13	11	23	16	32	9	3	3
HOM03M000216	6	229	135	17	16	1	0	13	47	0	0	0	0	0	0	0	0	0
HOM03M000217	16	228	25	14	14	14	15	13	8	38	10	14	24	15	16	2	2	4
HOM03M000218	14	224	24	25	23	26	38	22	14	15	8	6	3	7	11	0	0	2
HOM03M000219	16	226	17	20	23	15	19	10	10	19	10	16	16	22	12	9	3	5
HOM03M000220	14	225	13	15	17	12	21	12	9	12	8	8	44	29	15	10	0	0
HOM03M000221	16	225	14	13	12	12	12	12	11	26	15	21	28	18	16	11	1	3
HOM03M000222	16	225	18	12	14	14	17	15	14	38	13	11	23	14	14	4	2	2
HOM03M000223	16	225	15	15	19	15	15	15	8	26	13	10	21	13	22	14	1	3
HOM03M000224	16	224	10	29	23	33	38	19	12	4	2	1	5	1	6	6	7	28
HOM03M000225	13	204	20	24	26	0	22	20	15	17	9	8	18	11	11	3	0	0
HOM03M000226	16	224	13	10	14	16	19	11	17	17	6	17	22	14	28	18	1	1
HOM03M000227	15	223	16	20	19	16	17	17	13	10	14	11	20	10	24	12	0	4
HOM03M000228	16	223	17	10	13	15	14	16	16	22	17	13	26	14	19	7	2	2
HOM03M000229	16	223	16	11	12	15	16	9	9	17	11	12	25	15	21	27	2	5
HOM03M000230	2	5	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0
HOM03M000231	14	221	22	17	9	14	16	15	9	27	17	12	21	11	22	9	0	0
HOM03M000232	16	221	23	14	10	13	15	11	11	18	13	10	18	14	11	24	9	7
HOM03M000233	16	222	18	9	14	15	12	14	11	21	10	12	21	16	12	20	8	9
HOM03M000234	16	221	23	13	12	10	10	12	12	24	17	14	19	10	12	18	4	11
HOM03M000235	14	216	22	16	14	11	21	17	14	25	17	9	19	9	14	8	0	0
HOM03M000236	16	220	17	17	17	17	17	14	12	20	16	10	18	10	13	13	3	6
HOM03M000237	13	218	16	23	22	22	18	17	14	4	11	19	17	14	21	0	0	0
HOM03M000238	16	218	22	16	15	16	17	14	14	18	14	13	19	13	18	7	1	1
HOM03M000239	16	218	25	16	14	16	19	14	14	26	15	9	16	8	10	13	1	2
HOM03M000240	14	217	17	12	15	14	15	13	13	22	15	11	28	16	15	11	0	0
HOM03M000241	16	217	20	11	16	10	12	12	10	27	9	7	19	15	13	21	7	8
HOM03M000242	16	217	16	11	14	16	17	12	11	12	13	10	18	12	14	11	19	11
HOM03M000243	16	213	20	16	17	18	19	13	12	28	14	7	13	9	11	13	2	1
HOM03M000244	16	214	17	14	11	13	14	12	12	25	13	18	20	10	17	13	1	4
HOM03M000245	15	214	20	17	14	14	14	15	14	31	13	10	20	16	13	2	0	1
HOM03M000246	16	211	13	11	14	16	16	9	9	13	14	11	18	12	17	13	10	15
HOM03M000247	16	211	21	11	13	15	14	14	11	22	14	14	20	16	15	5	1	5
HOM03M000248	14	210	21	14	11	16	14	13	12	36	15	11	22	6	13	6	0	0
HOM03M000249	14	210	26	22	16	17	19	17	12	23	10	5	17	5	13	8	0	0
HOM03M000250	14	209	15	15	15	17	19	15	15	13	15	14	22	13	15	6	0	0
HOM03M000251	16	209	16	9	8	10	11	8	9	27	11	6	18	8	20	40	1	7
HOM03M000252	5	209	0	0	0	0	0	0	0	0	142	24	27	2	14	0	0	0
HOM03M000253	16	208	20	16	13	14	14	14	13	23	18	9	19	11	12	7	2	3
HOM03M000254	16	208	14	17	20	21	23	23	19	10	13	5	11	11	5	11	2	3
HOM03M000255	15	207	20	10	16	16	15	12	12	25	16	12	18	13	15	6	0	1
HOM03M000256	16	206	8	13	15	12	17	8	10	10	9	15	26	36	17	3	3	4
HOM03M000257	16	206	13	10	15	10	11	9	8	31	14	13	19	14	10	21	2	6
HOM03M000258	16	206	16	11	12	14	15	14	10	22	22	16	19	12	9	10	1	3
HOM03M000259	14	206	23	16	14	17	18	15	13	18	13	10	18	7	14	10	0	0
HOM03M000260	12	205	11	19	22	40	52	22	7	5	1	1	4	0	21	0	0	0
HOM03M000261	16	205	14	15	16	16	18	11	10	16	11	8	29	11	17	10	1	2
HOM03M000262	15	205	18	17	18	15	18	16	12	28	11	9	12	10	13	7	0	1
HOM03M000263	16	203	14	13	11	12	13	11	10	20	11	10	19	12	11	17	10	9
HOM03M000264	14	202	24	14	15	20	21	14	14	20	11	8	16	7	14	4	0	0
HOM03M000265	16	201	14	15	11	11	15	11	14	15	16	8	27	9	23	4	5	3
