single1	single2
BD3G41270	SB09G024120
BD2G25857	SB09G019760
BD1G17710	SB04G004540
BD1G77330	SB01G049360
BD3G42020	SB08G001340
BD1G09390	SB01G008790
BD2G04117	SB03G004760
BD1G66302	SB01G039130
BD4G34230	SB02G028940
BD1G19510	SB02G041380
BD2G20810	SB09G024600
BD1G26060	SB02G034920
BD1G11000	SB01G010750
BD4G39520	SB08G009120
BD5G01850	SB06G001000
BD2G40507	SB03G024010
BD3G20660	SB03G046910
BD1G22250	SB02G038540
BD3G46247	SB09G030760
BD1G24640	SB02G036470
BD1G09750	SB01G009170
BD5G12820	SB06G019380
BD2G57150	SB03G041990
BD2G58277	SB03G043370
BD5G09930	SB06G016440
BD1G78420	SB01G050560
BD2G41340	SB03G025500
BD1G66250	SB01G039080
BD3G35640	SB01G049610
BD3G15410	SB07G005020
BD1G52660	SB02G009500
BD1G52150	SB10G000430
BD1G64710	SB01G037730
BD2G46510	SB03G031110
BD1G63730	SB01G036710
BD3G18830	SB07G007620
BD4G45370	SB00G01320
BD3G23040	SB01G024860
BD3G19470	SB07G011060
BD3G49030	SB04G026340
BD1G48740	SB10G004030
BD2G52830	SB03G037530
BD3G30277	SB01G017720
BD2G55730	SB03G040670
BD3G27940	SB01G020170
BD2G07125	SB03G001600
BD3G28760	SB01G019330
BD1G30180	SB10G030300
BD5G26500	SB06G033280
BD5G21070	SB06G027930
BD4G41070	SB03G042670
BD1G12830	SB01G012360
BD1G28167	SB02G033040
BD1G02550	SB03G045320
BD1G33330	SB10G028030
BD4G36370	SB02G031090
BD1G26700	SB02G034230
BD1G55216	SB01G003360
BD2G34680	SB01G043865
BD1G04140	SB01G003700
BD5G03600	SB06G002040
BD3G29990	SB01G018130
BD3G44197	SB04G020730
BD3G32880	SB01G029660
BD4G09997	SB02G043630
BD3G02640	SB04G002260
BD3G48560	SB04G025800
BD3G55160	SB04G036990
BD1G65140	SB01G038160
BD3G32820	SB01G029770
BD1G19340	SB02G041420
BD2G61110	SB03G046160
BD2G10780	SB03G011260
BD4G38890	SB02G012610
BD1G07270	SB01G006810
BD1G49657	SB10G001730
BD4G38000	SB02G032810
BD1G49240	SB10G003690
BD4G33920	SB02G028640
BD1G51660	SB10G002230
BD5G25930	SB06G032670
BD5G26017	SB06G032770
BD2G37440	SB09G001650
BD3G41217	SB07G026250
BD4G41520	SB08G004540
BD1G67000	SB01G039960
BD2G00970	SB08G017270
BD1G49140	SB10G003770
BD2G38100	SB09G002260
BD5G15120	SB06G021950
BD3G09110	SB02G025980
BD1G46730	SB10G006220
BD1G11010	SB01G010740
BD1G59100	SB10G008980
BD3G33370	SB01G029060
BD2G03980	SB03G005010
BD4G11510	SB05G025690
BD4G35690	SB02G030390
BD2G50340	SB03G035050
BD1G11520	SB01G010210
BD2G45380	SB03G029780
BD3G15390	SB10G023620
BD5G23680	SB06G030380
BD1G64507	SB01G037483
BD1G67370	SB01G040310
BD1G04030	SB01G003600
BD2G51620	SB03G036240
BD3G47067	SB04G024160
BD1G51880	SB10G027800
BD5G01730	SB06G001050
BD3G46700	SB04G023750
BD1G36430	SB10G023720
BD1G55667	SB02G004340
BD4G05600	SB08G017190
BD3G19290	SB07G009460
BD3G58130	SB04G034020
BD3G13440	SB07G001080
BD2G07690	SB03G000920
BD4G16900	SB05G020810
BD2G13360	SB04G001220
BD1G77950	SB01G049950
BD1G28437	SB02G011120
BD2G28680	SB09G016610
BD1G68880	SB01G041750
BD1G25430	SB02G035610
BD3G57560	SB04G034590
BD1G35607	SB10G024670
BD1G03460	SB01G002940
BD5G02160	SB06G000580
BD1G67570	SB01G040530
BD1G72100	SB01G044760
BD2G09470	SB03G010090
BD3G21590	SB01G027630
BD3G10710	SB01G048430
BD1G35240	SB10G030160
BD1G11580	SB01G010960
BD3G28787	SB01G019310
BD1G21470	SB05G001150
BD5G13880	SB06G020650
BD4G16180	SB05G021980
BD3G43370	SB04G018500
BD2G53090	SB03G037770
BD3G59130	SB04G027810
BD1G15520	SB01G015780
BD3G04090	SB01G011140
BD3G34800	SB07G019460
BD3G28050	SB01G020050
BD5G12430	SB06G019030
BD3G14190	SB07G002300
BD3G12780	SB07G023490
BD1G30580	SB10G025320
BD3G41920	SB07G025350
BD2G35807	SB09G003830
BD4G02160	SB08G020890
BD1G05580	SB01G005280
BD2G01827	SB03G007500
BD1G51817	SB10G000410
BD3G13220	SB07G000565
BD1G01014	SB01G000630
BD1G72620	SB01G045200
BD2G41480	SB03G025720
BD2G05017	SB03G003800
BD2G42030	SB03G026180
BD1G69200	SB01G042080
BD3G33630	SB01G028790
BD3G56450	SB04G029430
BD5G17657	SB06G024560
BD3G16550	SB07G003820
BD1G69690	SB01G042670
BD1G23160	SB02G037780
BD1G34970	SB10G029780
BD2G21080	SB09G024390
BD1G03030	SB01G002280
BD3G48647	SB04G025910
BD3G38160	SB07G022980
BD5G04550	SB06G003270
BD3G46130	SB04G023240
BD3G19180	SB07G009310
BD3G03210	SB02G032820
BD1G37390	SB10G022680
BD5G14513	SB06G021380
BD2G30590	SB09G010840
BD1G67700	SB01G040670
BD4G14970	SB05G022870
BD3G44560	SB04G021290
BD3G32780	SB01G029925
BD2G46260	SB03G030810
BD1G32610	SB02G008800
BD3G56840	SB04G028760
BD2G39810	SB09G026780
BD5G24960	SB06G031700
BD4G35810	SB02G030550
BD5G19450	SB06G026550
BD1G08217	SB01G007660
BD2G61436	SB03G046560
BD4G05110	SB08G017700
BD1G21177	SB01G050280
BD2G58967	SB03G044000
BD2G60400	SB03G045400
BD3G19310	SB07G009470
BD3G58780	SB04G027550
BD2G13210	SB03G026530
BD1G34910	SB10G029710
BD2G41130	SB03G025320
BD5G10930	SB06G017480
BD1G24330	SB02G036660
BD1G30260	SB10G024960
BD2G20550	SB09G024840
BD2G51450	SB03G036060
BD1G64520	SB01G037490
BD3G08880	SB04G008310
BD1G22510	SB02G038410
BD1G75860	SB01G047730
BD1G55820	SB09G022850
BD1G11317	SB01G010410
BD1G56090	SB04G019250
BD4G26130	SB08G001890
BD3G31410	SB01G031280
BD2G55310	SB03G040300
BD1G66050	SB01G038930
BD5G23910	SB06G030570
BD3G41840	SB07G025460
BD1G67320	SB01G040250
BD1G08350	SB01G007800
BD3G08910	SB04G008330
BD1G69510	SB01G042430
BD1G11687	SB01G011060
BD1G49960	SB10G001980
BD5G13770	SB06G020590
BD2G08832	SB03G009540
BD4G03380	SB08G019540
BD2G51800	SB03G036440
BD1G74850	SB01G046770
BD1G63850	SB01G036820
BD2G14490	SB03G026500
BD1G22170	SB04G031420
BD4G35900	SB02G030650
BDCG00670	SBCG00790
BD1G35370	SB03G025470
BD5G21740	SB06G028450
BD3G60200	SB04G035280
BD3G11327	SB04G002680
BD2G11360	SB03G012030
BD1G34760	SB10G029490
BD3G22030	SB07G015170
BD3G01560	SB04G001250
BD2G55477	SB03G040430
BD3G56910	SB04G028840
BD1G69490	SB01G042410
BD5G03950	SB01G002970
BD3G13467	SB07G001100
BD1G73780	SB01G045930
BD2G14350	SB03G044240
BD3G59590	SB04G028290
BD1G01047	SB01G000680
BD1G78410	SB01G050570
BD5G07240	SB06G011300
BD1G71450	SB04G016300
BD4G08020	SB03G004560
BD3G16927	SB07G003600
BD2G47080	SB03G031740
BD1G65310	SB01G038290
BD3G58000	SB10G007100
BD2G19680	SB09G025750
BD4G07870	SB01G012940
BD2G37140	SB09G001410
BD1G67790	SB01G040790
BD5G05190	SB06G007330
BD2G52850	SB03G037550
BD4G01810	SB01G013700
BD2G59226	SB03G044310
BD4G06987	SB08G015430
BD2G06920	SB03G001910
BD3G05950	SB02G041940
BD2G05970	SB03G002880
BD1G44160	SB10G009230
BD1G68757	SB01G041660
BD3G60550	SB04G038310
BD2G05940	SB03G002920
BD2G09290	SB03G009890
BD1G22600	SB02G038340
BD2G60850	SB03G046010
BD2G39870	SB09G026050
BD2G13840	SB06G024340
BD1G27710	SB02G033390
BD1G19950	SB02G040820
BD1G04940	SB01G004620
BD2G01870	SB03G007140
BD1G20040	SB02G040650
BD1G78480	SB01G050510
BD2G57967	SB03G043060
BD4G27920	SB02G021130
BD1G12300	SB01G011810
BD1G32350	SB10G026910
BD1G19280	SB02G032170
BD1G64480	SB01G037470
BD2G26547	SB09G019370
BD4G41127	SB08G004900
BD3G28605	SB04G036540
BD1G53050	SB02G008700
BD3G14127	SB09G024520
BD2G38160	SB09G002290
BD3G33770	SB01G028650
BD1G47050	SB10G005910
BD2G58397	SB03G043500
BD1G19867	SB02G040860
BD2G17330	SB09G027750
BD1G23400	SB02G037620
BD3G39510	SB07G028340
BD3G24730	SB01G042930
BD2G06080	SB01G016780
BD4G32530	SB02G027000
BD4G03970	SB08G018840
BD1G64597	SB01G037570
BD3G13000	SB07G000320
BD1G22740	SB02G038260
BD3G02997	SB04G002710
BD2G12090	SB03G013100
BD1G56130	SB02G004000
BD5G10730	SB06G017320
BD3G34040	SB01G028370
BD5G27460	SB06G034000
BD2G02020	SB03G007290
BD4G18870	SB05G017710
BD1G74700	SB01G046660
BD5G25506	SB06G032170
BD3G39170	SB07G028650
BD2G06680	SB03G004100
BD5G13940	SB06G020720
BD3G02817	SB04G002490
BD2G55150	SB03G040100
BD5G03740	SB06G006720
BD1G03730	SB01G003230
BD4G36230	SB01G048070
BD1G26170	SB02G034775
BD1G16097	SB01G031340
BD5G00600	SB10G029680
BD2G56587	SB03G041440
BD5G04790	SB09G000590
BD2G49627	SB03G034380
BD1G01110	SB01G000750
BD1G12157	SB01G011640
BD1G71700	SB01G044350
BD2G25080	SB09G020660
BD5G01763	SB06G021510
BD3G52820	SB04G030500
BD4G41470	SB09G026295
BD3G56470	SB04G029465
BD3G59480	SB04G028100
BD4G31600	SB02G026080
BD5G14667	SB06G021570
BD3G00227	SB10G006650
BD5G19840	SB06G026860
BD2G09540	SB03G010140
BD4G40790	SB10G011240
BD5G19460	SB06G026560
BD2G45450	SB03G029870
BD5G10260	SB06G016930
BD2G07620	SB03G000970
BD1G24980	SB09G020820
BD2G44360	SB03G028760
BD1G30540	SB10G025260
BD1G63147	SB01G036100
BD2G46490	SB03G031050
BD2G37610	SB09G001890
BD3G60720	SB04G038440
BD4G28030	SB02G021770
BD4G03150	SB08G019730
BD5G20780	SB01G048060
BD1G09530	SB01G008930
BD2G19800	SB01G002910
BD4G07820	SB04G010090
BD4G07440	SB02G002950
BD1G45607	SB10G007650
BD2G45690	SB03G030230
BD2G16710	SB09G028380
BD2G57590	SB03G042600
BD3G16900	SB07G003620
BD1G50180	SB10G001000
BD3G30027	SB01G018070
BD2G42100	SB03G026290
BD1G75262	SB01G047114
BD1G68160	SB01G041120
BD2G59937	SB03G045030
BD5G25100	SB06G031850
BD5G17240	SB06G024050
BD3G33920	SB01G028480
BD1G76450	SB01G048410
BD4G27057	SB02G018660
BD1G05420	SB01G005120
BD2G13690	SB03G020430
BD5G10990	SB06G018000
BD2G25980	SB05G002090
BD1G21366	SB02G039700
BD1G44100	SB10G009280
BD4G35730	SB02G030440
BD1G31890	SB10G026590
BD4G27370	SB02G019520
BD1G18110	SB02G042610
BD1G64130	SB01G037100
BD3G47867	SB04G025045
BD1G60890	SB01G033760
BD3G44530	SB04G021230
BD2G05200	SB03G003675
BD3G13280	SB07G000880
BD3G51730	SB04G031850
BD2G26270	SB09G019540
BD4G06790	SB08G015620
BD5G22290	SB06G029020
BD3G00940	SB04G000645
BD3G16990	SB07G003540
BD3G19820	SB03G026310
BD4G26640	SB08G002960
BD4G24197	SB05G004840
BD3G42960	SB07G024070
BD3G08080	SB04G007560
BD1G46960	SB10G005990
BD2G37760	SB03G039500
BD2G53526	SB03G038220
BD4G39190	SB08G013400
BD2G31930	SB09G007300
BD2G35070	SB09G004310
BD2G55320	SB03G040310
BD4G42817	SB08G002880
BD1G76800	SB01G048790
BD1G58340	SB02G002940
BD3G13410	SB07G001010
BD3G31397	SB01G031290
BD2G46040	SB03G030620
BD1G12200	SB01G011710
BD2G36410	SB09G003400
BD3G02720	SB04G002340
BD3G10630	SB04G011310
BD3G12580	SB03G011550
BD4G24400	SB05G004620
BD3G40600	SB07G026870
BD1G08460	SB01G007940
BD2G55760	SB03G040700
BD2G51350	SB03G035980
BD1G57430	SB02G001890
BD2G01504	SB03G007890
BD3G35650	SB07G020166
BD1G41430	SB03G040340
BD3G53280	SB04G029980
BD5G13900	SB06G020670
BD3G01950	SB04G001710
BD4G08260	SB02G013050
BD5G09920	SB06G016430
BD5G24250	SB06G030900
BD3G58930	SB04G027640
BD3G22580	SB00G00580
BD3G17110	SB08G020920
BD3G52140	SB04G031260
BD1G65670	SB01G038590
BD1G43520	SB01G034910
BD3G29017	SB01G019076
BD1G06080	SB01G005580
BD2G38270	SB02G006860
BD2G54220	SB03G039020
BD1G52330	SB10G000400
BD2G03497	SB03G008920
BD2G27790	SB09G018170
BD4G19650	SB00G00845
BD1G01100	SB01G000760
BD1G29020	SB02G009640
BD4G22690	SB05G009420
BD2G03297	SB03G006070
BD2G05420	SB03G003460
BD4G40140	SB08G006760
BD1G06960	SB01G006400
BD2G25540	SB09G020150
BD1G72270	SB01G044840
BD2G15526	SB06G014350
BD5G10500	SB06G017090
BD3G26160	SB01G023110
BD1G13350	SB01G013020
BD4G40670	SB08G005560
BD3G12800	SB07G023470
BD3G20450	SB02G042200
BD1G42820	SB08G001930
BD1G51720	SB07G026190
BD2G37780	SB09G002050
BD2G20370	SB09G025020
BD5G14830	SB06G021740
BD3G56280	SB04G029200
BD4G04567	SB08G018330
BD2G34310	SB09G005200
BD2G13320	SB07G004650
BD2G52430	SB03G037120
BD1G15810	SB04G006420
BD4G08350	SB02G014460
BD3G03526	SB04G003160
BD3G07286	SB04G006730
BD1G21400	SB02G039750
BD1G31090	SB10G025790
BD5G20597	SB06G027460
BD1G14590	SB01G014570
BD4G44480	SB05G001020
BD3G02650	SB01G001440
BD3G17910	SB07G006070
BD1G34200	SB10G028990
BD1G02380	SB01G001905
BD1G16140	SB01G032170
BD5G12680	SB06G019260
BD1G65290	SB01G038270
BD4G39680	SB08G008280
BD3G02890	SB04G002620
BD1G75280	SB01G047130
BDCG00570	SBCG00670
BD3G36200	SB07G020690
BD3G54880	SB04G027150
BD2G18080	SB09G027130
BD1G67540	SB01G040520
BD4G17287	SB05G019770
BD3G57060	SB04G029010
BD3G01150	SB09G025250
BD1G20720	SB02G039900
BD1G07910	SB01G007370
BD4G36380	SB02G031100
BD1G59410	SB02G000660
BD1G22607	SB02G038320
BD5G16280	SB06G023140
BD2G27060	SB09G018830
BD5G25920	SB06G032660
BD1G72967	SB01G045520
BD3G15970	SB01G013620
BD1G72280	SB01G044850
BD4G27747	SB04G003076
BD1G60500	SB01G033300
BD4G29570	SB02G023980
BD2G16810	SB09G028260
BD1G51890	SB01G014880
BD4G05830	SB08G017020
BD1G64250	SB01G037220
BD3G27950	SB01G020160
BD3G54430	SB04G036270
BD3G56410	SB04G029360
BD1G19830	SB06G032040
BD1G42620	SB10G012720
BD2G47840	SB03G032550
BD2G62532	SB03G047480
BD0G00080	SB10G025480
BD3G53000	SB04G030280
BD1G06380	SB01G005910
BD1G54570	SB06G017040
BD2G57130	SB09G003270
BD2G10700	SB03G011200
BD1G20700	SB02G043830
BD3G37790	SB07G022590
BD1G69010	SB01G041870
