single1	single2
BD1G78110	OS03G01660
BD3G03317	OS02G04480
BD1G58160	OS07G04840
BD1G33560	OS06G47580
BD2G59770	OS01G70670
BD3G17750	OS08G10500
BD1G53800	OS07G45090
BD1G62340	OS03G22870
BD2G26650	OS05G32390
BD4G27220	OS01G32750
BD3G53020	OS02G47970
BD1G50212	OS06G02160
BD4G24180	OS11G07490
BD5G14550	OS04G41910
BD2G23570	OS05G37950
BD1G50530	OS12G20150
BD1G43830	OS06G15700
BD3G57820	OS02G52940
BD1G59331	OS07G01940
BD3G20590	OS08G23730
BD2G00560	OS01G01620
BD3G41270	OS08G41990
BD2G25857	OS05G33390
BD1G77330	OS03G02670
BD3G42020	OS08G43130
BD1G09390	OS03G52700
BD2G04117	OS01G07260
BD2G27230	OS01G25330
BD1G66302	OS03G17170
BD4G34230	OS09G32320
BD1G19510	OS07G45350
BD2G20810	OS05G42010
BD1G26060	OS07G33670
BD1G11000	OS03G49720
BD2G11480	OS01G19450
BD4G39520	OS12G13910
BD2G40507	OS01G35170
BD3G20660	OS08G23410
BD1G71650	OS08G27090
BD3G46247	OS05G51620
BD1G24640	OS07G37700
BD1G58490	OS07G05830
BD1G34180	OS06G48760
BD3G34387	OS10G42510
BD5G12820	OS04G39220
BD3G52720	OS02G47580
BD2G58277	OS01G68130
BD4G05930	OS12G34860
BD5G09930	OS04G34450
BD3G16440	OS08G06230
BD1G66250	OS02G12870
BD3G15410	OS08G08210
BD1G52660	OS07G20270
BD1G52150	OS06G01440
BD2G46510	OS01G48680
BD1G63730	OS03G20860
BD3G18830	OS08G14460
BD5G00220	OS09G01290
BD3G23040	OS10G13550
BD3G19470	OS08G16930
BD1G48740	OS06G06410
BD3G30277	OS10G36060
BD3G27940	OS10G31930
BD2G07125	OS01G11990
BD3G28760	OS10G33710
BD1G30180	OS06G50360
BD5G26500	OS04G58580
BD5G21070	OS04G51900
BD1G12830	OS03G46640
BD3G23230	OS10G25320
BD1G28167	OS07G28940
BD1G02550	OS01G71190
BD1G33330	OS06G47350
BD4G36370	OS09G36520
BD1G26700	OS07G32350
BD1G55216	OS01G50690
BD1G08620	OS03G53750
BD3G03637	OS02G04970
BD1G04140	OS03G60090
BD5G03600	OS04G13470
BD3G29990	OS10G35560
BD3G44197	OS02G30800
BD5G05162	OS04G23210
BD3G32880	OS10G40360
BD4G09997	OS11G45250
BD3G46440	OS04G53380
BD3G02640	OS02G03460
BD5G21350	OS04G52164
BD3G48560	OS02G39890
BD1G65140	OS03G18590
BD3G32820	OS10G40130
BD1G19340	OS07G46220
BD2G61110	OS01G72480
BD5G22580	OS04G53550
BD4G08907	OS09G09360
BD2G10780	OS01G17180
BD4G38890	OS09G39790
BD1G07270	OS03G56070
BD1G44307	OS06G14040
BD1G49657	OS06G03780
BD4G38000	OS09G38790
BD2G57980	OS01G67750
BD4G33920	OS08G40250
BD1G51660	OS06G04280
BD5G25930	OS04G11880
BD2G37440	OS05G02490
BD4G38440	OS09G39390
BD3G41217	OS08G41900
BD1G67000	OS03G16070
BD2G43127	OS02G07070
BD1G15270	OS03G39640
BD1G51790	OS06G02028
BD1G49140	OS06G06030
BD2G38100	OS05G03480
BD5G15120	OS04G42784
BD3G09110	OS02G14190
BD1G42980	OS06G19730
BD1G46730	OS06G09330
BD1G11010	OS03G49730
BD1G28660	OS07G27180
BD1G59100	OS03G11580
BD1G29490	OS06G51350
BD2G03980	OS01G07100
BD4G11510	OS05G09620
BD4G35690	OS09G35670
BD2G13750	OS01G32880
BD2G50340	OS01G55300
BD1G56880	OS07G06890
BD1G11520	OS03G50540
BD5G23680	OS04G55060
BD1G52090	OS06G01700
BD1G67370	OS03G15630
BD1G02220	OS03G62420
BD1G04030	OS03G60190
BD2G51620	OS01G56910
BD5G18080	OS04G47120
BD3G58172	OS03G50850
BD5G02190	OS04G01520
BD3G47067	OS02G37090
BD1G51880	OS09G24250
BD5G01730	OS04G02730
BD1G36430	OS06G40500
BD1G55667	OS07G08050
BD4G05600	OS12G35360
BD3G19290	OS08G16559
BD3G58130	OS10G26130
BD3G13440	OS08G01880
BD3G60160	OS02G54254
BD4G16900	OS11G34120
BD2G13360	OS10G18220
BD4G03860	OS02G16630
BD1G77950	OS03G01920
BD2G28680	OS05G28280
BD1G68880	OS03G13220
BD1G25430	OS07G36080
BD3G57560	OS02G53270
BD5G11080	OS04G36780
BD1G35607	OS06G42430
BD5G02160	OS04G01590
BD1G71660	OS08G34480
BD3G10610	OS02G18830
BD1G67570	OS03G15350
BD1G72100	OS03G08810
BD2G09470	OS01G15600
BD3G21590	OS10G43075
BD2G18710	OS07G41190
BD1G35240	OS06G50154
BD3G37630	OS08G35700
BD5G04577	OS04G14510
BD1G11580	OS03G49480
BD2G12300	OS01G22510
BD5G26260	OS04G58210
BD3G28787	OS10G33770
BD1G21470	OS01G42460
BD5G23660	OS04G55040
BD4G16180	OS11G36030
BD3G41750	OS08G42730
BD3G60610	OS02G58410
BD2G53090	OS01G59800
BD3G59130	OS02G51470
BD1G51500	OS06G04580
BD1G15520	OS03G38520
BD3G04090	OS03G49180
BD3G34800	OS08G29730
BD3G28050	OS07G07520
BD5G12430	OS04G38750
BD1G48210	OS06G07160
BD3G14190	OS08G03390
BD2G18960	OS07G46620
BD1G30580	OS06G43690
BD3G41920	OS08G43060
BD2G35807	OS05G05710
BD4G02160	OS12G41590
BD1G05580	OS03G58130
BD2G01827	OS01G03510
BD3G52980	OS02G47940
BD3G09740	OS02G15930
BD1G51817	OS05G37500
BD3G13220	OS08G01430
BD2G41480	OS01G38970
BD2G05017	OS01G08420
BD2G42030	OS01G40280
BD1G69200	OS03G12940
BD3G33630	OS10G41460
BD3G56450	OS02G49326
BD1G03220	OS03G61260
BD1G02990	OS03G61600
BD5G17657	OS04G46470
BD3G16550	OS08G06070
BD1G69690	OS03G11950
BD1G23160	OS07G39710
BD1G35670	OS06G41990
BD1G34970	OS06G49790
BD2G21080	OS05G41750
BD1G03030	OS03G61560
BD3G48647	OS02G39990
BD3G38160	OS08G36840
BD5G04550	OS04G17050
BD3G46130	OS02G35610
BD1G25816	OS07G34640
BD3G19180	OS08G16010
BD1G59030	OS07G02300
BD1G67270	OS03G15740
BD1G37390	OS06G37610
BD1G27237	OS07G30940
BD1G19000	OS07G46540
BD4G14610	OS04G34720
BD3G44560	OS02G32370
BD2G46260	OS01G48210
BD1G32610	OS07G16960
BD3G56840	OS02G50100
BD2G39810	OS05G01450
BD5G24960	OS04G56646
BD4G35810	OS09G36040
BD5G19450	OS04G49530
BD1G08217	OS03G54920
BD2G61436	OS01G72980
BD4G05110	OS12G36760
BD5G23210	OS04G54330
BD2G58967	OS01G69120
BD2G60400	OS01G71300
BD3G19310	OS08G16570
BD3G58780	OS02G51790
BD2G13210	OS01G28540
BD2G41130	OS01G37760
BD5G10930	OS04G36050
BD1G24330	OS07G37990
BD1G30260	OS06G43120
BD2G03530	OS01G01369
BD2G20550	OS05G42350
BD2G51450	OS01G56640
BD3G03680	OS03G37330
BD1G64520	OS03G19400
BD1G62790	OS03G22360
BD5G02340	OS04G01290
BD3G08880	OS02G13810
BD1G22510	OS07G40800
BD1G55820	OS10G21000
BD1G56090	OS02G27950
BD3G31410	OS10G37660
BD2G55310	OS01G63690
BD1G66050	OS03G17440
BD5G23910	OS04G55260
BD1G55250	OS07G08729
BD1G04700	OS08G44680
BD1G67320	OS03G15700
BD3G41180	OS08G41840
BD1G08350	OS03G54150
BD1G10990	OS03G49710
BD3G08910	OS02G13840
BD1G37510	OS06G37420
BD1G69510	OS06G20090
BD1G11687	OS03G49250
BD1G49960	OS06G03980
BD5G13770	OS04G40740
BD2G08832	OS01G14820
BD4G03380	OS12G39340
BD1G08940	OS11G16540
BD2G51800	OS01G57260
BD3G03290	OS10G21940
BD1G74850	OS03G05806
BD1G63850	OS03G20640
BD2G14490	OS01G40700
BD4G35900	OS09G35920
BDCG00670	OSCG00790
BD1G35370	OS01G23680
BD3G60200	OS02G54500
BD1G34760	OS06G49490
BD5G01990	OS12G19590
BD3G22030	OS08G27010
BD3G01560	OS02G02510
BD3G56910	OS02G49992
BD1G69490	OS03G12320
BD1G11220	OS03G50130
BD4G07110	OS04G28090
BD2G62330	OS01G74310
BD3G59590	OS02G50830
BD1G01047	OS03G63860
BD1G78410	OS03G01180
BD5G07240	OS04G30780
BD3G16690	OS08G05880
BD3G05160	OS02G07230
BD1G71450	OS02G26370
BD4G08020	OS12G23200
BD4G34460	OS09G32700
